id,type,text1,text2,text3,notes
hii_tarii,SHIP,"The Hiigaran standard fighter superiority craft. Nimble and tough, it carries two Rapid Kinetic Drivers and a rapid fire Anti-Fighter Missile Pod for engaging other fighters and bombers to devastating effect.",,,
hii_toba,SHIP,"The Toba is a highly advanced heavy strike fighter. With it's hard-hitting Pulsar Lances and tough omni shield, it excels at targeted strikes against larger targets. It's poor maneuverability, slow firing weaponry, and reliance on it's narrow omni shield for defense make it very vulnerable to other fighters, however.",,,
hii_heeshk,SHIP,"The Heeshk carries over a dozen salvos of nimble Siviir missiles which it fires from a distance. Dreadfully slow, but carries a lot of missiles and doesn't need to replenish ammo immediately. Very effective at hunting frigates and destroyers, or harassing larger ships at a distance. Known as the ""Banshee"" for the wailing sound of it's missile salvos.",,,
hii_raachok,SHIP,"This Support Interceptor is a testament to the advances in unmanned drone technology by the Hiigarans. Extremely small and fast, the Raachok is capable of chasing down any prey and delivering a paralyzing ion shock. However it is incredibly fragile and unable to cause much real damage on it's own.",,,
hii_fiirkan_fighter,SHIP,"The Fiirkan-Mar is a newly-redesigned Fiirkan with all the subsystems that allow it to be an independent ship removed, allowing and requiring it to launch from a Carrier. With all the free space the combat systems of the ship have been significantly improved, and a general-use weapon, the Strike Pulsar Turet, has been installed on it's mount.",,,
hii_fiirkan,SHIP,"Fiirkan', the Hunting Bird. A very nimble Corvette with a single versatile mount for hunting any prey.",,,
hii_jet,SHIP,"The brother to the Kaan, the Jet provides close range attack capabilities in a very tough package. 

The Kaan and Jet were designed in tandem several decades ago using many of the same components and the same frame to create a balanced Frigate package. The Jet and Kaan were designed to fill all roles necessary for escorts and patrols together. The Jet is able to engage fast moving targets and skirmish directly with the enemy, forming a defensive line for the fire support and harassment capability of the Kaan. The duo has been standardized and is seen in almost every fleet in the Hiigaran Navy.",,,
hii_kaan,SHIP,"Sister to the Jet, the Kaan uses its missile loadout to harass and provide fire support.

The Kaan and Jet were designed in tandem several decades ago using many of the same components and the same frame to create a balanced Frigate package. The Jet and Kaan were created to fill all roles necessary for escorts and patrols together. The Jet is able to engage fast moving targets and skirmish directly with the enemy, forming a defensive line for the fire support and harassment capability of the Kaan. The duo has been standardized and is seen in almost every fleet in the Hiigaran Navy.",,,
hii_luun,SHIP,"Seeing the need for a small freighter and tug, the Kaan's chassis was redesigned to house supplies, fuel and a grapple, losing ammunitions, engine power and defensive measures. A vulnerable but important ship.",,,
hii_rathan,SHIP,"Two Accelerated Pulsars form the main armaments of this strike Destroyer, unique short range energy weapons designed to deliver potent bursts of damage.",,,
hii_vraan,SHIP,"The Vraan is the Hiigaran's mainline Destroyer, designed with extreme versatility in mind. It's numerous and open mounts and multitudes of unused compartments allow for a wide-variety of fittings to fulfill any role needed of a sub-cruiser combat vessel.

Nearly a century ago, Hiigaran manufacturing capability was extremely limited due to poor resource management, lack of space, and hostile raids on New Hiigara. Expanding, colonizing, and defending the rest of the system was an immediate priority, but current ship production was extremely slow going with the need to utilize the same factories to produce multiple parts for different ships that were not interchangeable. A new design for a single extremely versatile ship was commissioned, and the Vraan was born. A single ship that could be used in any combat role allowed factories to manufacture the same parts for a single ship platform, allowing the Hiigarans to quickly escalate their military power and stabilize their new home system.",,,
hii_taarel,SHIP,Hiigaran standard tanker.,,,
hii_vihr,SHIP,Hiigaran standard freighter.,,,
hii_saari,SHIP,"Hiigaran troop transport. This ship is also a capable combat ship, should it need to be.",,,
hii_sashiir,SHIP,"Designed around the Saari hull, the Sashiir brings a little bit of everything to the battlefield.",,,
hii_faal-corum,SHIP,"A unique drone-controlling support carrier. Having little means of defense itself, it is able to launch up to 15 small support drones that orbit it, each armed with a downscaled Pulsar Beam.",,,
hii_kava,SHIP,"The Kava is an advanced strike Destroyer, with two built-in Ion-Particle Lances for devasating large targets at close range. It's fast and nimble and uniquely capable within the Hiigaran Navy.",,,
hii_jneer,SHIP,"The Jneer is the mainstay of the Hiigaran fleet, the embodiment of the Hiigaran battle doctrine. Tough and maneuverable, with the capacity to mount several large weapons and use sensor drones to increase their range for standoff combat.",,,
hii_saarkin,SHIP,"The counterpart to the Jneer, the Saarkin is a strike cruiser developed to work alongside other Hiigaran ships to deliver the killing blow.",,,
hii_vanaar,SHIP,"A dedicated missile support ship, it has little in the way of defending itself but the capacity to unleash an unrivaled amount of missile ordinance.",,,
hii_vaahrok,SHIP,"With it's twin Cho Torpedo Launchers and a number of additional mounting options, the Vaahrok is an offensive powerhouse as far as Hiigaran ships are concerned.",,,
hii_skaal,SHIP,"The Skaal is little more than a platform for the Skaal Ion Beam System, a powerful anti-Capital weapon that puts constant pressure on enemy vessels from a long range. Unlike most Hiigaran ships, the Skaal is incredibly vulnerable to attack.",,,
hii_koshiir,SHIP,"The big brother of the Jneer, the Koshiir is an incredibly resilient ship, able to hold up under heavy sustained fire and hold formations together while fighting back with its multiple large weapon emplacements. The Koshiir makes up the majority of Capital Ship formations in the Hiigaran Navy.",,,
hii_qwaar,SHIP,"The Qwaar is a very fast Battlecruiser with a large array of weaponry, one of the most dangerous strike ships in the Sector.",,,
hii_kuun-lan,SHIP,"The Kuun-Lan is a powerful fire support warship, with a wide variety of hardpoints and offensive capabilities.",,,
hii_neerin,SHIP,"A massive beast of burden with a thick hide, the Neerin is the end of the line for logistics vessels.",,,
hii_wodaan,SHIP,"An older design, but never-the-less effective. The Wodaan dates back to the Great Exile when speed and logistics were just as important as combat ability, but has been retrofitted for modern times with tougher armor and expanded fighter bays.",,,
hii_taiid,SHIP,"A newer, more modern Carrier updated for Hiigara's new doctrine. Tough, reliable, and full of extra weaponry to support it's fighter wings, the Taiid is now a mainstay in the Hiigaran Navy.",,,
